Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
international,Root Category,"Media, Music & Books",Books,English Books,Parent's Books,,,7.27,3023,Parent's Books,3023
international,Root Category,"Media, Music & Books",Books,English Books,Relationship Books,,,7.27,3029,Relationship Books,3029
international,Root Category,"Media, Music & Books",Books,English Books,Medical Books,,,7.27,3040,Medical Books,3040
international,Root Category,"Media, Music & Books",Books,English Books,Cooking Books,,,7.27,3042,Cooking Books,3042
international,Root Category,"Media, Music & Books",Books,English Books,Travel Books,,,7.27,3048,Travel Books,3048
international,Root Category,"Media, Music & Books",Books,English Books,Law Books,,,7.27,3051,Law Books,3051
international,Root Category,"Media, Music & Books",Books,English Books,Sport Books,,,7.27,3053,Sport Books,3053
international,Root Category,"Media, Music & Books",Books,English Books,Science Fiction Books,,,7.27,3115,Science Fiction Books,3115
international,Root Category,"Media, Music & Books",Books,English Books,Romance,,,7.27,3118,Romance,3118
international,Root Category,Motors,Automotive,,,,,7.27,3238,Automotive,3238
international,Root Category,Motors,Automotive,Car Care,,,,0.9,3239,Car Care,3239
international,Root Category,Motors,Automotive,Motorcycle & ATV,,,,0.9,3240,Motorcycle & ATV,3240
international,Root Category,Motors,Automotive,Interior Accessories,Air Fresheners,,,1.81,3241,Air Fresheners,3241
international,Root Category,Motors,Automotive,Car Care,Interior Care,,,0.9,3242,Interior Care,3242
international,Root Category,Motors,Automotive,Car Care,Exterior Care,,,0.9,3244,Exterior Care,3244
international,Root Category,Motors,Automotive,Motorcycle & ATV,Accessories,,,0.9,3245,Accessories,3245
international,Root Category,Motors,Automotive,Motorcycle & ATV,Helmets,,,0.9,3247,Helmets,3247
international,Root Category,Fashion,,,,,,10,3281,Fashion,3281
international,Root Category,Home Appliances,,,,,,7.27,3297,Home Appliances,3297
international,Root Category,Health & Beauty,Health & Beauty Tools,Hair styling Appliances,Hair Straighteners,,,7.27,3303,Hair Straighteners,3303
international,Root Category,Health & Beauty,Health & Beauty Tools,Hair Removal Appliances,Epilators,,,7.27,3310,Epilators,3310
international,Root Category,Home Appliances,Small Kitchen Appliances,,,,,7.27,3312,Small Kitchen Appliances,3312
international,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,,,,7.27,3313,Rice Cookers & Steamers,3313
international,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Rice Cookers,,,7.27,3314,Rice Cookers,3314
international,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Slow Cookers,,,7.27,3315,Slow Cookers,3315
international,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Steamers,,,7.27,3316,Steamers,3316
international,Root Category,Home Appliances,Small Kitchen Appliances,Electric Kettles & Thermo Pots,,,,7.27,3317,Electric Kettles & Thermo Pots,3317
international,Root Category,Home Appliances,Small Kitchen Appliances,Food Preparation,,,,7.27,3318,Food Preparation,3318
international,Root Category,Home Appliances,Small Kitchen Appliances,Juicers & Fruit Extractors,,,,7.27,3319,Juicers & Fruit Extractors,3319
