id_tbc_variable,regional_key,primary_category,category_lv_1,category_lv_2,category_deepest,shipping_rate,start_date,end_date
NULL,NULL,NULL,Default,Default,Default,34084,1900-01-01 00:00:00,2017-12-10 23:59:59
NULL,NULL,NULL,Default,Default,Default,52020,2017-12-11 00:00:00,9999-12-31 23:59:59
