id_payment_cost_mapping,payment_method,tenor,bank,flat_rate,mdr_rate,ipp_rate,start_date,end_date
NULL,NoPayment,NULL,NULL,0,0,0,1900-01-01 00:00:00,9999-12-31 23:59:59
NULL,CashOnDelivery,NULL,NULL,0,0.015,0,1900-01-01 00:00:00,2017-03-31 23:59:59
NULL,CashOnDelivery,NULL,NULL,0,0.01,0,2017-04-01 00:00:00,9999-12-31 23:59:59
NULL,DOKUInstallment,NULL,NULL,0,0.0203,0.043,1900-01-01 00:00:00,2017-12-31 23:59:59
NULL,DOKUInstallment,NULL,NULL,0,0.0195,0.043,2018-01-01 00:00:00,9999-12-31 23:59:59
NULL,NULL,NULL,NULL,0,0.0203,0,1900-01-01 00:00:00,2017-12-31 23:59:59
NULL,NULL,NULL,NULL,0,0.0195,0,2018-01-01 00:00:00,9999-12-31 23:59:59
