id_supplier,short_code,name
13986,ID10BEL,"Valencia phone acc"
13994,ID10BEU,"Bahagia Shop"
14152,ID10BJC,"Natasha Babyshop"
14280,ID10BN0,"ABADI JAYA SHOP"
14440,ID10BSK,"LANCAR JAYA STORE"
14494,ID10BU4,"Godive indonesia"
14522,ID10BUX,houseofcuff
14593,ID10BWY,"GOLDEN GROUP"
14647,ID10BYH,"HMILL Baju Hamil"
14692,ID10BZS,Cutevina
14729,ID10C0U,"AUST BOX"
15075,ID10CAP,"NAZ Store"
15133,ID10CCD,Shenyuan
15201,ID10CEB,"Indah Jaya Electric"
15314,ID10CHJ,"TOKO VIOLA"
15375,ID10CJA,"Hunter Accessories"
15388,ID10CJN,Vicenza.
15471,ID10CM1,Natasquare
15658,ID10CSD,ArizuGadget
17148,ID10DZY,Suryapomade
17304,ID10E4E,pinkyshop
17512,ID10EAC,"LITTLE BEE BOUTIQUE"
17649,ID10EE9,"BIMA FURNITURA"
17700,ID10EFP,"Kotakom Pucang"
17838,ID10EJN,Metrocellindo
18364,ID10EZO,XoXoGrosir
18365,ID10EZP,NSClothing
18458,ID10F2D,BMV
18759,ID10FAZ,"Marine Baby Shop"
19043,ID10FJ3,"Kirana Sports"
19583,ID10FZI,MAXITOOLS
20004,ID10GBJ,GAMELAND
20072,ID10GDH,"Tamagoo Shoes"
20186,ID10GGR,Sabertooth
20367,ID10GLX,Odyssey
20627,ID10GUC,"Aspen Filter"
20645,ID10GUV,"Panda Voucher and Games"
20658,ID10GV8,"Milk And Berry"
20889,ID10H1U,Berlian's
21423,ID10HH3,neocellindo
21465,ID10HIA,G-Smart
21817,ID10HTC,"Beau Shop"
22008,ID10HYT,"CARINDO AUTO PARTS"
22056,ID10I06,CST
22097,ID10I1C,"UFO ELEKTRONIKA DAN FURNITURE"
22253,ID10I5T,"Big Makmur"
22501,ID10ICW,"Salomo Musik"
22504,ID10ICZ,"Mami Beli"
22780,ID10IKV,"Toko Malva"
23081,ID10IUG,printerbagus
23138,ID10IW3,Pocketbook
23269,ID10IZU,"AJ Express"
23270,ID10IZV,"GUNUNG INTI ELEKTRIKAL"
23282,ID10J07,"DOREMI CELLULAR"
23411,ID10J3W,lologrosir
23672,ID10JBC,"World Acc"
23916,ID10JIB,"Best Seller"
23945,ID10JJ5,"innovision shop"
24132,ID10JOH,"I AM DNELZ"
24163,ID10JPD,"JAVA SEVEN"
24199,ID10JRE,LovelyLova
24646,ID10K46,"billion jamtangan"
25146,ID10KIG,"Deana Wallsticker"
26184,ID10LD4,"Fecelin Gift"
27728,ID10MM8,"Manhattan Baby and Beyond"
28036,ID10MW1,"AF3 SHOP"
28040,ID10MW5,"Ciamis Manis Shop"
28103,ID10MXY,"Smile Mobile Phone Shop"
28494,ID10N94,Obor-Baru
28619,ID10NCO,sarung-hp
28659,ID10NDU,"Fast Shopping"
28822,ID10NIH,ezplora
29028,ID10NOD,BELKIDT
29063,ID10NPD,"Kantung Ajaib"
29119,ID10NRZ,"Sellindo store"
30308,ID10OPY,JP-Shop
30432,ID10OUH,"AFC Store"
30531,ID10OXB,"Plaza Power Bank"
30708,ID10P2D,"Spreibed Store"
31066,ID10PCL,"Naydayna Distro"
31107,ID10PDS,"Rats Vendor"
31119,ID10PE4,blanjagrosir
31155,ID10PF5,"barang unik china"
31180,ID10PFV,"Global Susu & Alkes"
31387,ID10PLS,"Samudra Baut Teknik"
31459,ID10PNU,adhitshop
31467,ID10PO2,"Toko Lima Puluh"
31609,ID10PT4,Triends
31866,ID10R0G,"Dinos Footwear"
32338,ID10RDY,"Toko ZHIE SHOP"
32653,ID10RMY,"Barang Kece"
33128,ID10S1I,"Seven print"
33652,ID10SGH,"Lynn Design"
33750,ID10SJA,ExShop
33931,ID10SOG,"toko green world"
34134,ID10SV9,"Bayu Shop1"
34438,ID10T3Y,SURROUND
34458,ID10T4I,"Planet Network"
34490,ID10T5F,"Nick Store"
34663,ID10TAD,KenZCom
34733,ID10TCD,qfashionshop
34900,ID10TH5,KHEISA-SHOP
35820,ID10U8F,POLLENZO
36025,ID10UEA,OUTDOOR
36069,ID10UFJ,"Main Power Supplier"
36173,ID10UII,"Be-One Store"
36392,ID10UOS,"Satria Store"
36804,ID10V1J,Larindo
36838,ID10V2I,"Mr. Poplin"
37051,ID10V8L,uniled
37297,ID10VFM,AILY
37351,ID10VH6,"D & D Hat Collection"
37391,ID10VIB,VINICOM
37673,ID10VRD,"Xbambu jamtangan"
37752,ID10VTM,Nimoshop
37933,ID10VYT,"RAZKA STORE"
38009,ID10W0Z,"KAKAKTUA THE GADGET STORE"
38191,ID10W66,OKE-BUY
38282,ID10W8S,"Champion Acc Store"
38387,ID10WBS,Esrocte
38863,ID10WPD,"BnG Shop"
38934,ID10WSE,"Khairy Store"
38979,ID10WTO,HerbalStore
39072,ID10WWC,kedaiponsel
39078,ID10WWI,"Dunia Komunikasi Dan Seluler"
39324,ID10X3J,"BRILIANT STORE"
39352,ID10X4C,"MUZAKI HERBAL"
39454,ID10X79,F/CENTER
39504,ID10X8O,DUNIA_ARLOJI
39512,ID10X8X,"Galaxy Acc Store"
39876,ID10XJB,alifastore
39899,ID10XJZ,"Zaen Shop"
40036,ID10XNW,"Gilavory Store"
40171,ID10XSR,"The Jim Joker"
40299,ID10XWE,"toko herbal suplemen kesehatan"
40687,ID10Y7H,"Toko Obat Kesehatan"
41294,ID10YOU,HealthyBeauty-Suwella
41565,ID10YXK,"Hakuna Matata"
41650,ID10Z00,StarCase
41846,ID10Z5L,aksesorisGrosir
42709,ID10ZV9,"FAF Galeri"
42733,ID10ZVY,"Green Apple Gift"
42743,ID10ZW8,PapaKiloShop
43235,ID110AA,99sweefit
43789,ID110R4,"Wiens Store"
44030,ID110Y0,Invicom.sby
44072,ID110Z7,SmartChoice
44334,ID1116O,"Warung Si Don"
44461,ID111AB,"Terserah Lo"
44612,ID111EM,"Sentral Jam"
44737,ID111I7,"BP store"
45346,ID1120L,goodpricecell
45513,ID1125D,"Black Master"
45580,ID1127A,"Toko MASHA"
46623,ID11323,kutakatikcom
46855,ID1138P,"Cyber Technologi Store"
46949,ID113BE,"hendra arloji olshop"
46959,ID113BO,"Greenworld herbal 0449"
