id_weight_threshold_seller,item_weight_threshold,item_weight_no_bulky,item_weight_offset,item_weight_max,package_weight_threshold,package_weight_no_bulky,package_weight_offset,package_weight_max,start_date,end_date
NULL,7,1,0,0,9999999,0,0,0,1900-01-01 00:00:00,2016-12-31 23:59:59
NULL,9999999,0,0,0,2,0,0,1,2017-01-01 00:00:00,9999-12-31 23:59:59
