id_region,region,id_city,city,id_district,district
35,"Jawa Barat",6230,"Kab. Bekasi",6248,"Cikarang Barat"
35,"Jawa Barat",6230,"Kab. Bekasi",6249,Cibitung
35,"Jawa Barat",6230,"Kab. Bekasi",6250,Cibarusah
35,"Jawa Barat",6230,"Kab. Bekasi",6251,Cabangbungin
35,"Jawa Barat",6230,"Kab. Bekasi",6252,Bojongmangu
35,"Jawa Barat",6230,"Kab. Bekasi",6253,Babelan
35,"Jawa Barat",6230,"Kab. Bekasi",17381,Cikarang
35,"Jawa Barat",6189,"Kab. Bogor",6190,Tenjolaya
35,"Jawa Barat",6189,"Kab. Bogor",6191,Tenjo
35,"Jawa Barat",6189,"Kab. Bogor",6192,Tanjungsari
35,"Jawa Barat",6189,"Kab. Bogor",6193,Tamansari
35,"Jawa Barat",6189,"Kab. Bogor",6194,Tajurhalang
35,"Jawa Barat",6189,"Kab. Bogor",6195,Sukaraja
35,"Jawa Barat",6189,"Kab. Bogor",6196,Sukamakmur
35,"Jawa Barat",6189,"Kab. Bogor",6197,Sukajaya
35,"Jawa Barat",6189,"Kab. Bogor",6198,Rumpin
35,"Jawa Barat",6189,"Kab. Bogor",6199,"Ranca Bungur"
35,"Jawa Barat",6189,"Kab. Bogor",6200,"Parung Panjang"
35,"Jawa Barat",6189,"Kab. Bogor",6201,Parung
35,"Jawa Barat",6189,"Kab. Bogor",6202,Pamijahan
35,"Jawa Barat",6189,"Kab. Bogor",6203,Nanggung
35,"Jawa Barat",6189,"Kab. Bogor",6204,Megamendung
35,"Jawa Barat",6189,"Kab. Bogor",6205,Leuwisadeng
35,"Jawa Barat",6189,"Kab. Bogor",6206,Leuwiliang
35,"Jawa Barat",6189,"Kab. Bogor",6207,"Klapa Nunggal (Kelapa Nunggal)"
35,"Jawa Barat",6189,"Kab. Bogor",6208,Kemang
35,"Jawa Barat",6189,"Kab. Bogor",6209,Jonggol
35,"Jawa Barat",6189,"Kab. Bogor",6210,Jasinga
35,"Jawa Barat",6189,"Kab. Bogor",6211,"Gunung Sindur"
35,"Jawa Barat",6189,"Kab. Bogor",6212,"Gunung Putri"
35,"Jawa Barat",6189,"Kab. Bogor",6213,Dramaga
35,"Jawa Barat",6189,"Kab. Bogor",6214,Citeureup
35,"Jawa Barat",6189,"Kab. Bogor",6215,Ciseeng
35,"Jawa Barat",6189,"Kab. Bogor",6216,Cisarua
35,"Jawa Barat",6189,"Kab. Bogor",6217,Ciomas
35,"Jawa Barat",6189,"Kab. Bogor",6218,Cileungsi
35,"Jawa Barat",6189,"Kab. Bogor",6219,Cijeruk
35,"Jawa Barat",6189,"Kab. Bogor",6220,Cigudeg
35,"Jawa Barat",6189,"Kab. Bogor",6221,Cigombong
35,"Jawa Barat",6189,"Kab. Bogor",6222,Cibungbulang
35,"Jawa Barat",6189,"Kab. Bogor",6223,Cibinong
35,"Jawa Barat",6189,"Kab. Bogor",6224,Ciawi
35,"Jawa Barat",6189,"Kab. Bogor",6225,Ciampea
35,"Jawa Barat",6189,"Kab. Bogor",6226,Cariu
35,"Jawa Barat",6189,"Kab. Bogor",6227,Caringin
35,"Jawa Barat",6189,"Kab. Bogor",6228,Bojonggede
35,"Jawa Barat",6189,"Kab. Bogor",6229,"Babakan Madang"
46,"Jawa Tengah",5603,"Kab. Boyolali",5604,Wonosegoro
46,"Jawa Tengah",5603,"Kab. Boyolali",5605,Teras
46,"Jawa Tengah",5603,"Kab. Boyolali",5606,Simo
46,"Jawa Tengah",5603,"Kab. Boyolali",5607,Selo
46,"Jawa Tengah",5603,"Kab. Boyolali",5608,Sawit
46,"Jawa Tengah",5603,"Kab. Boyolali",5609,Sambi
46,"Jawa Tengah",5603,"Kab. Boyolali",5610,Nogosari
46,"Jawa Tengah",5603,"Kab. Boyolali",5611,Ngemplak
46,"Jawa Tengah",5603,"Kab. Boyolali",5612,Musuk
46,"Jawa Tengah",5603,"Kab. Boyolali",5613,Mojosongo
46,"Jawa Tengah",5603,"Kab. Boyolali",5614,Klego
46,"Jawa Tengah",5603,"Kab. Boyolali",5615,Kemusu
46,"Jawa Tengah",5603,"Kab. Boyolali",5616,Karanggede
46,"Jawa Tengah",5603,"Kab. Boyolali",5617,Juwangi
46,"Jawa Tengah",5603,"Kab. Boyolali",5618,Cepogo
46,"Jawa Tengah",5603,"Kab. Boyolali",5619,Boyolali
46,"Jawa Tengah",5603,"Kab. Boyolali",5620,Banyudono
46,"Jawa Tengah",5603,"Kab. Boyolali",5621,Andong
46,"Jawa Tengah",5603,"Kab. Boyolali",5622,Ampel
23,"Jawa Timur",4936,"Kab. Gresik",4937,"Wringin Anom"
23,"Jawa Timur",4936,"Kab. Gresik",4938,"Ujung Pangkah"
23,"Jawa Timur",4936,"Kab. Gresik",4939,Tambak
23,"Jawa Timur",4936,"Kab. Gresik",4940,Sidayu
23,"Jawa Timur",4936,"Kab. Gresik",4941,Sangkapura
23,"Jawa Timur",4936,"Kab. Gresik",4942,Panceng
23,"Jawa Timur",4936,"Kab. Gresik",4943,Menganti
23,"Jawa Timur",4936,"Kab. Gresik",4944,Manyar
23,"Jawa Timur",4936,"Kab. Gresik",4945,Kedamean
23,"Jawa Timur",4936,"Kab. Gresik",4946,Kebomas
23,"Jawa Timur",4936,"Kab. Gresik",4947,Gresik
23,"Jawa Timur",4936,"Kab. Gresik",4948,Dukun
23,"Jawa Timur",4936,"Kab. Gresik",4949,"Duduk Sampeyan"
23,"Jawa Timur",4936,"Kab. Gresik",4950,Driyorejo
23,"Jawa Timur",4936,"Kab. Gresik",4951,Cerme
23,"Jawa Timur",4936,"Kab. Gresik",4952,Bungah
23,"Jawa Timur",4936,"Kab. Gresik",4953,Benjeng
23,"Jawa Timur",4936,"Kab. Gresik",4954,"Balong Panggang"
46,"Jawa Tengah",5490,"Kab. Karanganyar",5491,Tawangmangu
46,"Jawa Tengah",5490,"Kab. Karanganyar",5492,Tasikmadu
46,"Jawa Tengah",5490,"Kab. Karanganyar",5493,Ngargoyoso
46,"Jawa Tengah",5490,"Kab. Karanganyar",5494,Mojogedang
46,"Jawa Tengah",5490,"Kab. Karanganyar",5495,Matesih
46,"Jawa Tengah",5490,"Kab. Karanganyar",5496,Kerjo
46,"Jawa Tengah",5490,"Kab. Karanganyar",5497,Kebakkramat
46,"Jawa Tengah",5490,"Kab. Karanganyar",5498,Karangpandan
46,"Jawa Tengah",5490,"Kab. Karanganyar",5499,Karanganyar
46,"Jawa Tengah",5490,"Kab. Karanganyar",5500,Jumapolo
46,"Jawa Tengah",5490,"Kab. Karanganyar",5501,Jumantono
46,"Jawa Tengah",5490,"Kab. Karanganyar",5502,Jenawi
46,"Jawa Tengah",5490,"Kab. Karanganyar",5503,Jatiyoso
46,"Jawa Tengah",5490,"Kab. Karanganyar",5504,Jatipuro
46,"Jawa Tengah",5490,"Kab. Karanganyar",5505,Jaten
46,"Jawa Tengah",5490,"Kab. Karanganyar",5506,Gondangrejo
46,"Jawa Tengah",5490,"Kab. Karanganyar",5507,Colomadu
46,"Jawa Tengah",5415,"Kab. Klaten",5416,Wonosari
46,"Jawa Tengah",5415,"Kab. Klaten",5417,Wedi
46,"Jawa Tengah",5415,"Kab. Klaten",5418,Tulung
46,"Jawa Tengah",5415,"Kab. Klaten",5419,Trucuk
46,"Jawa Tengah",5415,"Kab. Klaten",5420,Prambanan
46,"Jawa Tengah",5415,"Kab. Klaten",5421,Polanharjo
46,"Jawa Tengah",5415,"Kab. Klaten",5422,Pedan
46,"Jawa Tengah",5415,"Kab. Klaten",5423,Ngawen
46,"Jawa Tengah",5415,"Kab. Klaten",5424,Manisrenggo
46,"Jawa Tengah",5415,"Kab. Klaten",5425,"Klaten Utara"
46,"Jawa Tengah",5415,"Kab. Klaten",5426,"Klaten Tengah"
46,"Jawa Tengah",5415,"Kab. Klaten",5427,"Klaten Selatan"
46,"Jawa Tengah",5415,"Kab. Klaten",5428,Kemalang
46,"Jawa Tengah",5415,"Kab. Klaten",5429,Kebonarum
46,"Jawa Tengah",5415,"Kab. Klaten",5430,Karangnongko
46,"Jawa Tengah",5415,"Kab. Klaten",5431,Karangdowo
