id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
8313642,"Cross Border",Standard,1041,1.00,6999.00,0.00,0.00,1
8313643,"Cross Border",Standard,1041,1.00,999999.00,0.00,0.00,1
8313644,"Cross Border",Standard,1042,1.00,6999.00,0.00,0.00,1
8313645,"Cross Border",Standard,1042,1.00,999999.00,0.00,0.00,1
8313646,"Cross Border",Standard,1043,1.00,6999.00,0.00,0.00,1
8313647,"Cross Border",Standard,1043,1.00,999999.00,0.00,0.00,1
8313648,"Cross Border",Standard,1044,1.00,6999.00,0.00,0.00,1
8313649,"Cross Border",Standard,1044,1.00,999999.00,0.00,0.00,1
8313650,"Cross Border",Standard,1045,1.00,6999.00,0.00,0.00,1
8313651,"Cross Border",Standard,1045,1.00,999999.00,0.00,0.00,1
8313652,"Cross Border",Standard,1046,1.00,6999.00,0.00,0.00,1
8313653,"Cross Border",Standard,1046,1.00,999999.00,0.00,0.00,1
8313654,"Cross Border",Standard,1047,1.00,6999.00,0.00,0.00,1
8313655,"Cross Border",Standard,1047,1.00,999999.00,0.00,0.00,1
8313656,"Cross Border",Standard,1048,1.00,6999.00,0.00,0.00,1
8313657,"Cross Border",Standard,1048,1.00,999999.00,0.00,0.00,1
8313658,"Cross Border",Standard,1049,1.00,6999.00,0.00,0.00,1
8313659,"Cross Border",Standard,1049,1.00,999999.00,0.00,0.00,1
8313660,"Cross Border",Standard,1050,1.00,6999.00,0.00,0.00,1
8313661,"Cross Border",Standard,1050,1.00,999999.00,0.00,0.00,1
8313662,"Cross Border",Standard,1051,1.00,6999.00,0.00,0.00,1
8313663,"Cross Border",Standard,1051,1.00,999999.00,0.00,0.00,1
8313664,"Cross Border",Standard,1052,1.00,6999.00,0.00,0.00,1
8313665,"Cross Border",Standard,1052,1.00,999999.00,0.00,0.00,1
8313666,"Cross Border",Standard,1053,1.00,6999.00,0.00,0.00,1
8313667,"Cross Border",Standard,1053,1.00,999999.00,0.00,0.00,1
8313668,"Cross Border",Standard,1054,1.00,6999.00,0.00,0.00,1
8313669,"Cross Border",Standard,1054,1.00,999999.00,0.00,0.00,1
8313670,"Cross Border",Standard,1055,1.00,6999.00,0.00,0.00,1
8313671,"Cross Border",Standard,1055,1.00,999999.00,0.00,0.00,1
8313672,"Cross Border",Standard,1057,1.00,6999.00,0.00,0.00,1
8313673,"Cross Border",Standard,1057,1.00,999999.00,0.00,0.00,1
8313674,"Cross Border",Standard,1058,1.00,6999.00,0.00,0.00,1
8313675,"Cross Border",Standard,1058,1.00,999999.00,0.00,0.00,1
8313676,"Cross Border",Standard,1059,1.00,6999.00,0.00,0.00,1
8313677,"Cross Border",Standard,1059,1.00,999999.00,0.00,0.00,1
8313678,"Cross Border",Standard,1060,1.00,6999.00,0.00,0.00,1
8313679,"Cross Border",Standard,1060,1.00,999999.00,0.00,0.00,1
8313680,"Cross Border",Standard,1061,1.00,6999.00,0.00,0.00,1
8313681,"Cross Border",Standard,1061,1.00,999999.00,0.00,0.00,1
8313682,"Cross Border",Standard,1062,1.00,6999.00,0.00,0.00,1
8313683,"Cross Border",Standard,1062,1.00,999999.00,0.00,0.00,1
8313684,"Cross Border",Standard,1063,1.00,6999.00,0.00,0.00,1
8313685,"Cross Border",Standard,1063,1.00,999999.00,0.00,0.00,1
8313686,"Cross Border",Standard,1064,1.00,6999.00,0.00,0.00,1
8313687,"Cross Border",Standard,1064,1.00,999999.00,0.00,0.00,1
8313688,"Cross Border",Standard,1065,1.00,6999.00,0.00,0.00,1
8313689,"Cross Border",Standard,1065,1.00,999999.00,0.00,0.00,1
8313690,"Cross Border",Standard,1066,1.00,6999.00,0.00,0.00,1
8313691,"Cross Border",Standard,1066,1.00,999999.00,0.00,0.00,1
8313692,"Cross Border",Standard,1067,1.00,6999.00,0.00,0.00,1
8313693,"Cross Border",Standard,1067,1.00,999999.00,0.00,0.00,1
8313694,"Cross Border",Standard,1068,1.00,6999.00,0.00,0.00,1
8313695,"Cross Border",Standard,1068,1.00,999999.00,0.00,0.00,1
8313696,"Cross Border",Standard,1069,1.00,6999.00,0.00,0.00,1
8313697,"Cross Border",Standard,1069,1.00,999999.00,0.00,0.00,1
8313698,"Cross Border",Standard,1070,1.00,6999.00,0.00,0.00,1
8313699,"Cross Border",Standard,1070,1.00,999999.00,0.00,0.00,1
8313700,"Cross Border",Standard,1071,1.00,6999.00,0.00,0.00,1
8313701,"Cross Border",Standard,1071,1.00,999999.00,0.00,0.00,1
8313702,"Cross Border",Standard,1072,1.00,6999.00,0.00,0.00,1
8313703,"Cross Border",Standard,1072,1.00,999999.00,0.00,0.00,1
8313704,"Cross Border",Standard,1073,1.00,6999.00,0.00,0.00,1
8313705,"Cross Border",Standard,1073,1.00,999999.00,0.00,0.00,1
8313706,"Cross Border",Standard,1074,1.00,6999.00,0.00,0.00,1
8313707,"Cross Border",Standard,1074,1.00,999999.00,0.00,0.00,1
8313708,"Cross Border",Standard,1075,1.00,6999.00,0.00,0.00,1
8313709,"Cross Border",Standard,1075,1.00,999999.00,0.00,0.00,1
8313710,"Cross Border",Standard,1077,1.00,6999.00,0.00,0.00,1
8313711,"Cross Border",Standard,1077,1.00,999999.00,0.00,0.00,1
8313712,"Cross Border",Standard,1078,1.00,6999.00,0.00,0.00,1
8313713,"Cross Border",Standard,1078,1.00,999999.00,0.00,0.00,1
8313714,"Cross Border",Standard,1079,1.00,6999.00,0.00,0.00,1
8313715,"Cross Border",Standard,1079,1.00,999999.00,0.00,0.00,1
8313716,"Cross Border",Standard,1080,1.00,6999.00,0.00,0.00,1
8313717,"Cross Border",Standard,1080,1.00,999999.00,0.00,0.00,1
8313718,"Cross Border",Standard,1081,1.00,6999.00,0.00,0.00,1
8313719,"Cross Border",Standard,1081,1.00,999999.00,0.00,0.00,1
8313720,"Cross Border",Standard,1082,1.00,6999.00,0.00,0.00,1
8313721,"Cross Border",Standard,1082,1.00,999999.00,0.00,0.00,1
8313722,"Cross Border",Standard,1083,1.00,6999.00,0.00,0.00,1
8313723,"Cross Border",Standard,1083,1.00,999999.00,0.00,0.00,1
8313724,"Cross Border",Standard,1084,1.00,6999.00,0.00,0.00,1
8313725,"Cross Border",Standard,1084,1.00,999999.00,0.00,0.00,1
8313726,"Cross Border",Standard,1085,1.00,6999.00,0.00,0.00,1
8313727,"Cross Border",Standard,1085,1.00,999999.00,0.00,0.00,1
8313728,"Cross Border",Standard,1086,1.00,6999.00,0.00,0.00,1
8313729,"Cross Border",Standard,1086,1.00,999999.00,0.00,0.00,1
8313730,"Cross Border",Standard,1088,1.00,6999.00,0.00,0.00,1
8313731,"Cross Border",Standard,1088,1.00,999999.00,0.00,0.00,1
8313732,"Cross Border",Standard,1089,1.00,6999.00,0.00,0.00,1
8313733,"Cross Border",Standard,1089,1.00,999999.00,0.00,0.00,1
8313734,"Cross Border",Standard,1090,1.00,6999.00,0.00,0.00,1
8313735,"Cross Border",Standard,1090,1.00,999999.00,0.00,0.00,1
8313736,"Cross Border",Standard,1091,1.00,6999.00,0.00,0.00,1
8313737,"Cross Border",Standard,1091,1.00,999999.00,0.00,0.00,1
8313738,"Cross Border",Standard,1092,1.00,6999.00,0.00,0.00,1
8313739,"Cross Border",Standard,1092,1.00,999999.00,0.00,0.00,1
8313740,"Cross Border",Standard,1093,1.00,6999.00,0.00,0.00,1
8313741,"Cross Border",Standard,1093,1.00,999999.00,0.00,0.00,1
8313742,"Cross Border",Standard,1094,1.00,6999.00,0.00,0.00,1
8313743,"Cross Border",Standard,1094,1.00,999999.00,0.00,0.00,1
8313744,"Cross Border",Standard,1095,1.00,6999.00,0.00,0.00,1
8313745,"Cross Border",Standard,1095,1.00,999999.00,0.00,0.00,1
8313746,"Cross Border",Standard,1096,1.00,6999.00,0.00,0.00,1
8313747,"Cross Border",Standard,1096,1.00,999999.00,0.00,0.00,1
8313748,"Cross Border",Standard,1097,1.00,6999.00,0.00,0.00,1
8313749,"Cross Border",Standard,1097,1.00,999999.00,0.00,0.00,1
8313750,"Cross Border",Standard,1098,1.00,6999.00,0.00,0.00,1
8313751,"Cross Border",Standard,1098,1.00,999999.00,0.00,0.00,1
8313752,"Cross Border",Standard,1099,1.00,6999.00,0.00,0.00,1
