Tax Class,Level 0,Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,General Commission,Lookup Cat. ID,Lookup Cat. Name,asd
local,Root Category,"Media, Music & Books",Books,English Books,Relationship Books,,,7.27,3029,Relationship Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Medical Books,,,7.27,3040,Medical Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Cooking Books,,,7.27,3042,Cooking Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Travel Books,,,7.27,3048,Travel Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Law Books,,,7.27,3051,Law Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Sport Books,,,7.27,3053,Sport Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Science Fiction Books,,,7.27,3115,Science Fiction Books,1
local,Root Category,"Media, Music & Books",Books,English Books,Romance,,,7.27,3118,Romance,1
local,Root Category,Motors,Automotive,,,,,7.27,3238,Automotive,1
local,Root Category,Motors,Automotive,Car Care,,,,0.9,3239,Car Care,1
local,Root Category,Motors,Automotive,Motorcycle & ATV,,,,0.9,3240,Motorcycle & ATV,1
local,Root Category,Motors,Automotive,Interior Accessories,Air Fresheners,,,1.81,3241,Air Fresheners,1
local,Root Category,Motors,Automotive,Car Care,Interior Care,,,0.9,3242,Interior Care,1
local,Root Category,Motors,Automotive,Car Care,Exterior Care,,,0.9,3244,Exterior Care,1
local,Root Category,Motors,Automotive,Motorcycle & ATV,Accessories,,,0.9,3245,Accessories,1
local,Root Category,Motors,Automotive,Motorcycle & ATV,Helmets,,,0.9,3247,Helmets,1
local,Root Category,Fashion,,,,,,7.27,3281,Fashion,1
local,Root Category,Home Appliances,,,,,,3.64,3297,Home Appliances,1
local,Root Category,Health & Beauty,Health & Beauty Tools,Hair styling Appliances,Hair Straighteners,,,5.45,3303,Hair Straighteners,1
local,Root Category,Health & Beauty,Health & Beauty Tools,Hair Removal Appliances,Epilators,,,5.45,3310,Epilators,1
local,Root Category,Home Appliances,Small Kitchen Appliances,,,,,3.63,3312,Small Kitchen Appliances,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,,,,3.63,3313,Rice Cookers & Steamers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Rice Cookers,,,3.63,3314,Rice Cookers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Slow Cookers,,,3.63,3315,Slow Cookers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Rice Cookers & Steamers,Steamers,,,3.63,3316,Steamers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Electric Kettles & Thermo Pots,,,,3.63,3317,Electric Kettles & Thermo Pots,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Food Preparation,,,,3.63,3318,Food Preparation,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Juicers & Fruit Extractors,,,,3.63,3319,Juicers & Fruit Extractors,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,,,,3.63,3321,Electric Pans,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,Electric Woks,,,3.63,3322,Electric Woks,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Electric Pans,Suki Pots,,,3.63,3323,Suki Pots,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Coffee Machines & Accessories,,,,3.63,3327,Coffee Machines & Accessories,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Toasters & Sandwich Makers,,,,3.63,3328,Toasters & Sandwich Makers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Specialty Cookware,,,,3.63,3329,Specialty Cookware,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Specialty Cookware,Other Cookware,,,3.63,3332,Other Cookware,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,,,,3.63,3333,Yogurt & Ice-Cream Makers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,Yogurt Makers,,,3.63,3334,Yogurt Makers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Yogurt & Ice-Cream Makers,Ice-Cream Makers,,,3.63,3335,Ice-Cream Makers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Water Dispensers,,,,3.63,3336,Water Dispensers,1
local,Root Category,Home Appliances,Small Kitchen Appliances,Water Purifiers & Filters,,,,3.63,3337,Water Purifiers & Filters,1
local,Root Category,Home Appliances,Garment Care,,,,,3.63,3338,Garment Care,1
local,Root Category,Home Appliances,Garment Care,Irons,,,,3.63,3339,Irons,1
local,Root Category,Home Appliances,Garment Care,Garment Steamers,,,,3.63,3340,Garment Steamers,1
local,Root Category,Home Appliances,Garment Care,Sewing Machines,,,,3.63,3341,Sewing Machines,1
local,Root Category,Home Appliances,Housekeeping,,,,,3.63,3342,Housekeeping,1
local,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,,,,3.63,3343,Vacuum Cleaners,1
local,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,Wet & Dry Vaccum Cleaners,,,3.63,3348,Wet & Dry Vaccum Cleaners,1
local,Root Category,Home Appliances,Housekeeping,Vacuum Cleaners,Handheld Vacuum Cleaners,,,3.63,3349,Handheld Vacuum Cleaners,1
local,Root Category,Home Appliances,Housekeeping,Floor Care,,,,3.63,3350,Floor Care,1
local,Root Category,Home Appliances,Cooling & Heating,,,,,3.63,3354,Cooling & Heating,1
local,Root Category,Home Appliances,Cooling & Heating,Fans,,,,3.63,3355,Fans,1
local,Root Category,Home Appliances,Cooling & Heating,"Air Purifiers, Dehumidifiers & Humidifiers",,,,3.63,3356,"Air Purifiers, Dehumidifiers & Humidifiers",1
local,Root Category,Home Appliances,Cooling & Heating,Air Conditioners,,,,0.64,3357,Air Conditioners,1
local,Root Category,Home Appliances,Cooling & Heating,Water Heaters,,,,2.73,3358,Water Heaters,1
local,Root Category,Home Appliances,Cooling & Heating,Heaters,,,,2.73,3359,Heaters,1
local,Root Category,Home Appliances,Large Appliances,,,,,2.72,3360,Large Appliances,1
local,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,,,,2.72,3361,Microwaves & Ovens,1
local,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,Microwaves,,,2.72,3362,Microwaves,1
local,Root Category,Home Appliances,Large Appliances,Microwaves & Ovens,ovens,,,2.72,3363,ovens,1
local,Root Category,Home Appliances,Large Appliances,Cooktops,,,,2.72,3364,Cooktops,1
local,Root Category,Home Appliances,Large Appliances,Cooktops,Induction Cooktops,,,2.72,3365,Induction Cooktops,1
local,Root Category,Home Appliances,Large Appliances,Cooktops,Gas Stoves,,,2.72,3366,Gas Stoves,1
local,Root Category,Home Appliances,Large Appliances,Cooktops,Electric Stoves,,,2.72,3367,Electric Stoves,1
local,Root Category,Home Appliances,Large Appliances,Refrigerators,,,,0.64,3369,Refrigerators,1
local,Root Category,Home Appliances,Large Appliances,Freezers,,,,2.72,3370,Freezers,1
local,Root Category,Home Appliances,Large Appliances,Dish Washers & Dryers,,,,2.72,3373,Dish Washers & Dryers,1
local,Root Category,Home Appliances,Large Appliances,Ranges & Hobs,,,,2.72,3374,Ranges & Hobs,1
local,Root Category,Home Appliances,Large Appliances,Hoods,,,,2.72,3375,Hoods,1
local,Root Category,Computers & Laptops,,,,,,0.45,3377,Computers & Laptops,1
local,Root Category,Computers & Laptops,Laptops,,,,,0.45,3378,Laptops,1
local,Root Category,Computers & Laptops,Desktops computers,,,,,0.91,3379,Desktops computers,1
local,Root Category,Computers & Laptops,Computer Components,,,,,2.73,3380,Computer Components,1
local,Root Category,Computers & Laptops,Computer Components,Motherboards,,,,2.73,3381,Motherboards,1
local,Root Category,Computers & Laptops,Computer Components,RAM,,,,2.73,3382,RAM,1
