id_shipping_fee_rate_card_kg,origin,leadtime,destination_zone,rounding,weight_break,flat_rate,step_rate,is_live
7927782,"Cross Border",Standard,1041,1.00,6999.00,0.00,0.00,1
7927783,"Cross Border",Standard,1041,1.00,999999.00,0.00,0.00,1
7927784,"Cross Border",Standard,1042,1.00,6999.00,0.00,0.00,1
7927785,"Cross Border",Standard,1042,1.00,999999.00,0.00,0.00,1
7927786,"Cross Border",Standard,1043,1.00,6999.00,0.00,0.00,1
7927787,"Cross Border",Standard,1043,1.00,999999.00,0.00,0.00,1
7927788,"Cross Border",Standard,1044,1.00,6999.00,0.00,0.00,1
7927789,"Cross Border",Standard,1044,1.00,999999.00,0.00,0.00,1
7927790,"Cross Border",Standard,1045,1.00,6999.00,0.00,0.00,1
7927791,"Cross Border",Standard,1045,1.00,999999.00,0.00,0.00,1
7927792,"Cross Border",Standard,1046,1.00,6999.00,0.00,0.00,1
7927793,"Cross Border",Standard,1046,1.00,999999.00,0.00,0.00,1
7927794,"Cross Border",Standard,1047,1.00,6999.00,0.00,0.00,1
7927795,"Cross Border",Standard,1047,1.00,999999.00,0.00,0.00,1
7927796,"Cross Border",Standard,1048,1.00,6999.00,0.00,0.00,1
7927797,"Cross Border",Standard,1048,1.00,999999.00,0.00,0.00,1
7927798,"Cross Border",Standard,1049,1.00,6999.00,0.00,0.00,1
7927799,"Cross Border",Standard,1049,1.00,999999.00,0.00,0.00,1
7927800,"Cross Border",Standard,1050,1.00,6999.00,0.00,0.00,1
7927801,"Cross Border",Standard,1050,1.00,999999.00,0.00,0.00,1
7927802,"Cross Border",Standard,1051,1.00,6999.00,0.00,0.00,1
7927803,"Cross Border",Standard,1051,1.00,999999.00,0.00,0.00,1
7927804,"Cross Border",Standard,1052,1.00,6999.00,0.00,0.00,1
7927805,"Cross Border",Standard,1052,1.00,999999.00,0.00,0.00,1
7927806,"Cross Border",Standard,1053,1.00,6999.00,0.00,0.00,1
7927807,"Cross Border",Standard,1053,1.00,999999.00,0.00,0.00,1
7927808,"Cross Border",Standard,1054,1.00,6999.00,0.00,0.00,1
7927809,"Cross Border",Standard,1054,1.00,999999.00,0.00,0.00,1
7927810,"Cross Border",Standard,1055,1.00,6999.00,0.00,0.00,1
7927811,"Cross Border",Standard,1055,1.00,999999.00,0.00,0.00,1
7927812,"Cross Border",Standard,1057,1.00,6999.00,0.00,0.00,1
7927813,"Cross Border",Standard,1057,1.00,999999.00,0.00,0.00,1
7927814,"Cross Border",Standard,1058,1.00,6999.00,0.00,0.00,1
7927815,"Cross Border",Standard,1058,1.00,999999.00,0.00,0.00,1
7927816,"Cross Border",Standard,1059,1.00,6999.00,0.00,0.00,1
7927817,"Cross Border",Standard,1059,1.00,999999.00,0.00,0.00,1
7927818,"Cross Border",Standard,1060,1.00,6999.00,0.00,0.00,1
7927819,"Cross Border",Standard,1060,1.00,999999.00,0.00,0.00,1
7927820,"Cross Border",Standard,1061,1.00,6999.00,0.00,0.00,1
7927821,"Cross Border",Standard,1061,1.00,999999.00,0.00,0.00,1
7927822,"Cross Border",Standard,1062,1.00,6999.00,0.00,0.00,1
7927823,"Cross Border",Standard,1062,1.00,999999.00,0.00,0.00,1
7927824,"Cross Border",Standard,1063,1.00,6999.00,0.00,0.00,1
7927825,"Cross Border",Standard,1063,1.00,999999.00,0.00,0.00,1
7927826,"Cross Border",Standard,1064,1.00,6999.00,0.00,0.00,1
7927827,"Cross Border",Standard,1064,1.00,999999.00,0.00,0.00,1
7927828,"Cross Border",Standard,1065,1.00,6999.00,0.00,0.00,1
7927829,"Cross Border",Standard,1065,1.00,999999.00,0.00,0.00,1
7927830,"Cross Border",Standard,1066,1.00,6999.00,0.00,0.00,1
7927831,"Cross Border",Standard,1066,1.00,999999.00,0.00,0.00,1
7927832,"Cross Border",Standard,1067,1.00,6999.00,0.00,0.00,1
7927833,"Cross Border",Standard,1067,1.00,999999.00,0.00,0.00,1
7927834,"Cross Border",Standard,1068,1.00,6999.00,0.00,0.00,1
7927835,"Cross Border",Standard,1068,1.00,999999.00,0.00,0.00,1
7927836,"Cross Border",Standard,1069,1.00,6999.00,0.00,0.00,1
7927837,"Cross Border",Standard,1069,1.00,999999.00,0.00,0.00,1
7927838,"Cross Border",Standard,1070,1.00,6999.00,0.00,0.00,1
7927839,"Cross Border",Standard,1070,1.00,999999.00,0.00,0.00,1
7927840,"Cross Border",Standard,1071,1.00,6999.00,0.00,0.00,1
7927841,"Cross Border",Standard,1071,1.00,999999.00,0.00,0.00,1
7927842,"Cross Border",Standard,1072,1.00,6999.00,0.00,0.00,1
7927843,"Cross Border",Standard,1072,1.00,999999.00,0.00,0.00,1
7927844,"Cross Border",Standard,1073,1.00,6999.00,0.00,0.00,1
7927845,"Cross Border",Standard,1073,1.00,999999.00,0.00,0.00,1
7927846,"Cross Border",Standard,1074,1.00,6999.00,0.00,0.00,1
7927847,"Cross Border",Standard,1074,1.00,999999.00,0.00,0.00,1
7927848,"Cross Border",Standard,1075,1.00,6999.00,0.00,0.00,1
7927849,"Cross Border",Standard,1075,1.00,999999.00,0.00,0.00,1
7927850,"Cross Border",Standard,1077,1.00,6999.00,0.00,0.00,1
7927851,"Cross Border",Standard,1077,1.00,999999.00,0.00,0.00,1
7927852,"Cross Border",Standard,1078,1.00,6999.00,0.00,0.00,1
7927853,"Cross Border",Standard,1078,1.00,999999.00,0.00,0.00,1
7927854,"Cross Border",Standard,1079,1.00,6999.00,0.00,0.00,1
7927855,"Cross Border",Standard,1079,1.00,999999.00,0.00,0.00,1
7927856,"Cross Border",Standard,1080,1.00,6999.00,0.00,0.00,1
7927857,"Cross Border",Standard,1080,1.00,999999.00,0.00,0.00,1
7927858,"Cross Border",Standard,1081,1.00,6999.00,0.00,0.00,1
7927859,"Cross Border",Standard,1081,1.00,999999.00,0.00,0.00,1
7927860,"Cross Border",Standard,1082,1.00,6999.00,0.00,0.00,1
7927861,"Cross Border",Standard,1082,1.00,999999.00,0.00,0.00,1
7927862,"Cross Border",Standard,1083,1.00,6999.00,0.00,0.00,1
7927863,"Cross Border",Standard,1083,1.00,999999.00,0.00,0.00,1
7927864,"Cross Border",Standard,1084,1.00,6999.00,0.00,0.00,1
7927865,"Cross Border",Standard,1084,1.00,999999.00,0.00,0.00,1
7927866,"Cross Border",Standard,1085,1.00,6999.00,0.00,0.00,1
7927867,"Cross Border",Standard,1085,1.00,999999.00,0.00,0.00,1
7927868,"Cross Border",Standard,1086,1.00,6999.00,0.00,0.00,1
7927869,"Cross Border",Standard,1086,1.00,999999.00,0.00,0.00,1
7927870,"Cross Border",Standard,1088,1.00,6999.00,0.00,0.00,1
7927871,"Cross Border",Standard,1088,1.00,999999.00,0.00,0.00,1
7927872,"Cross Border",Standard,1089,1.00,6999.00,0.00,0.00,1
7927873,"Cross Border",Standard,1089,1.00,999999.00,0.00,0.00,1
7927874,"Cross Border",Standard,1090,1.00,6999.00,0.00,0.00,1
7927875,"Cross Border",Standard,1090,1.00,999999.00,0.00,0.00,1
