id_transaction_type,description,type,fk_fee_type,ref_source,fee_process_type
115,"Adjustments Others",credit,75,seller,Manual
116,"Other Debits",debit,110,seller,Manual
117,"Promotional Charges Bundles",debit,NULL,sales_order_item,Automatic
118,"Promotional Charges Vouchers",debit,NULL,sales_order_item,Automatic
119,"Promotional Charge General",debit,NULL,sales_order_item,Automatic
120,"Reversal Promotional Charges Bundles",credit,NULL,sales_order_item,Automatic
121,"Reversal Promotional Charges Vouchers",credit,NULL,sales_order_item,Automatic
122,"Reversal Promotional Charges General",credit,NULL,sales_order_item,Automatic
123,"Adjustments Commission",credit,47,sales_order_item,Manual
124,"Adjustments Shipping Fee",credit,48,sales_order_item,Manual
125,"Other Claims - Returns",credit,87,sales_order_item,Manual
126,"Adjustments Claim",debit,88,sales_order_item,Manual
127,"Pick Up Fee",debit,89,sales_order_item,Manual
128,"Failed Delivery Fee",debit,91,sales_order_item,Manual
129,"Adjustments Shipping",credit,92,sales_order_item,Manual
130,"FBL Handling Fee",debit,93,sales_order_item,Manual
131,"FBL Storage Fee",debit,94,sales_order_item,Manual
132,"FBL Inbound Fee",debit,95,sales_order_item,Manual
133,"FBL - Other Fulfillment service Fee",debit,96,sales_order_item,Manual
134,"Adjustments FBL",credit,97,sales_order_item,Manual
135,"COD Fee",credit,98,sales_order_item,Manual
136,"Insurance Fee",debit,99,seller,Manual
137,"Photoshoot Content Service",debit,100,sales_order_item,Manual
138,"Transport Claims",credit,102,sales_order_item,Manual
139,"Other Claims",credit,103,sales_order_item,Manual
140,"Shipping Fee Claims",credit,104,sales_order_item,Manual
141,"Adjustments Shipping Fee",credit,106,sales_order_item,Manual
142,"Reversal shipping Fee (Paid by Customer)",debit,107,sales_order_item,Automatic
143,"Reversal Shipping Fee (Charged By Lazada)",credit,108,sales_order_item,Manual
144,"Other Debit - Non Taxable",debit,109,sales_order_item,Manual
145,"Other Debits (Returns)",debit,111,sales_order_item,Manual
