id_weight_threshold,item_threshold,package_threshold,item_threshold_offset,package_threshold_offset,start_date,end_date
NULL,7,9999999,0,0,1900-01-01 00:00:00,2016-12-31 23:59:59
NULL,0,2,0,1,2017-01-01 00:00:00,9999-12-31 23:59:59
