id_free_zone,id_region,region,id_city,city,id_district,district,fk_zone_type,active
1,39,Sumatera Utara,175,Kab. Tapanuli Tengah,176,Tukka,1,1
2,39,Sumatera Utara,175,Kab. Tapanuli Tengah,177,Tapian Nauli,1,1
3,39,Sumatera Utara,175,Kab. Tapanuli Tengah,178,Suka Bangun,1,1
4,39,Sumatera Utara,175,Kab. Tapanuli Tengah,179,Sosor Gadong,1,1
5,39,Sumatera Utara,175,Kab. Tapanuli Tengah,180,Sorkam Barat,1,1
6,39,Sumatera Utara,175,Kab. Tapanuli Tengah,181,Sorkam,1,1
7,39,Sumatera Utara,175,Kab. Tapanuli Tengah,182,Sitahuis,1,1
8,39,Sumatera Utara,175,Kab. Tapanuli Tengah,183,Sirandorung,1,1
9,39,Sumatera Utara,175,Kab. Tapanuli Tengah,184,Sibabangun,1,1
10,39,Sumatera Utara,175,Kab. Tapanuli Tengah,185,Sarudik,1,1
11,39,Sumatera Utara,175,Kab. Tapanuli Tengah,186,Pinangsori,1,1
12,39,Sumatera Utara,175,Kab. Tapanuli Tengah,187,Pasaribu Tobing,1,1
13,39,Sumatera Utara,175,Kab. Tapanuli Tengah,188,Pandan,1,1
14,39,Sumatera Utara,175,Kab. Tapanuli Tengah,189,Manduamas,1,1
15,39,Sumatera Utara,175,Kab. Tapanuli Tengah,190,Lumut,1,1
16,39,Sumatera Utara,175,Kab. Tapanuli Tengah,191,Kolang,1,1
17,39,Sumatera Utara,175,Kab. Tapanuli Tengah,192,Barus Utara,1,1
18,39,Sumatera Utara,175,Kab. Tapanuli Tengah,193,Barus,1,1
19,39,Sumatera Utara,175,Kab. Tapanuli Tengah,194,Badiri,1,1
20,39,Sumatera Utara,175,Kab. Tapanuli Tengah,195,Andam Dewi,1,1
21,39,Sumatera Utara,175,Kab. Tapanuli Tengah,17410,Sibolga,1,1
22,39,Sumatera Utara,544,Kota Medan,545,Medan Tuntungan,1,1
23,39,Sumatera Utara,544,Kota Medan,546,Medan Timur,1,1
24,39,Sumatera Utara,544,Kota Medan,547,Medan Tembung,1,1
25,39,Sumatera Utara,544,Kota Medan,548,Medan Sunggal,1,1
26,39,Sumatera Utara,544,Kota Medan,549,Medan Selayang,1,1
27,39,Sumatera Utara,544,Kota Medan,550,Medan Polonia,1,1
28,39,Sumatera Utara,544,Kota Medan,551,Medan Petisah,1,1
29,39,Sumatera Utara,544,Kota Medan,552,Medan Perjuangan,1,1
30,39,Sumatera Utara,544,Kota Medan,553,Medan Marelan,1,1
31,39,Sumatera Utara,544,Kota Medan,554,Medan Maimun,1,1
32,39,Sumatera Utara,544,Kota Medan,555,Medan Labuhan,1,1
33,39,Sumatera Utara,544,Kota Medan,556,Medan Kota,1,1
34,39,Sumatera Utara,544,Kota Medan,557,Medan Johor,1,1
35,39,Sumatera Utara,544,Kota Medan,558,Medan Helvetia,1,1
36,39,Sumatera Utara,544,Kota Medan,559,Medan Denai,1,1
37,39,Sumatera Utara,544,Kota Medan,560,Medan Deli,1,1
38,39,Sumatera Utara,544,Kota Medan,561,Medan Belawan Kota,1,1
39,39,Sumatera Utara,544,Kota Medan,562,Medan Baru,1,1
40,39,Sumatera Utara,544,Kota Medan,563,Medan Barat,1,1
41,39,Sumatera Utara,544,Kota Medan,564,Medan Area,1,1
42,39,Sumatera Utara,544,Kota Medan,565,Medan Amplas,1,1
43,39,Sumatera Utara,544,Kota Medan,17443,Medan,1,1
44,34,Sumatera Selatan,774,Kota Palembang,775,Sukarami,1,1
45,34,Sumatera Selatan,774,Kota Palembang,776,Sematang Borang,1,1
46,34,Sumatera Selatan,774,Kota Palembang,777,Seberang Ulu Ii,1,1
47,34,Sumatera Selatan,774,Kota Palembang,778,Seberang Ulu I,1,1
48,34,Sumatera Selatan,774,Kota Palembang,779,Sako,1,1
49,34,Sumatera Selatan,774,Kota Palembang,780,Plaju,1,1
50,34,Sumatera Selatan,774,Kota Palembang,781,Kertapati,1,1
51,34,Sumatera Selatan,774,Kota Palembang,782,Kemuning,1,1
52,34,Sumatera Selatan,774,Kota Palembang,783,Kalidoni,1,1
53,34,Sumatera Selatan,774,Kota Palembang,784,Ilir Timur Ii,1,1
54,34,Sumatera Selatan,774,Kota Palembang,785,Ilir Timur I,1,1
55,34,Sumatera Selatan,774,Kota Palembang,786,Ilir Barat Ii,1,1
56,34,Sumatera Selatan,774,Kota Palembang,787,Ilir Barat I,1,1
57,34,Sumatera Selatan,774,Kota Palembang,788,Gandus,1,1
58,34,Sumatera Selatan,774,Kota Palembang,789,Bukit Kecil,1,1
59,34,Sumatera Selatan,774,Kota Palembang,790,Alang-Alang Lebar,1,1
60,34,Sumatera Selatan,774,Kota Palembang,17370,Palembang,1,1
61,31,Sumatera Barat,970,Kota Padang,971,Pauh,1,1
62,31,Sumatera Barat,970,Kota Padang,972,Padang Utara,1,1
63,31,Sumatera Barat,970,Kota Padang,973,Padang Timur,1,1
64,31,Sumatera Barat,970,Kota Padang,974,Padang Selatan,1,1
65,31,Sumatera Barat,970,Kota Padang,975,Padang Barat,1,1
66,31,Sumatera Barat,970,Kota Padang,976,Nanggalo,1,1
67,31,Sumatera Barat,970,Kota Padang,977,Lubuk Kilangan,1,1
68,31,Sumatera Barat,970,Kota Padang,978,Lubuk Begalung,1,1
