id_shipment_provider,shipment_provider_name,fk_shipment_scheme,bulky_item_lower,bulky_item_upper,volumetric_constant,weight_rounding,shipment_fee_mp_seller_rate,shipment_cost_discount,shipment_cost_vat,pickup_cost,pickup_cost_discount,pickup_cost_vat,insurance_rate,insurance_vat,active
75,LGS-LEX-ID,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
76,AS-EC-Firstclass,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
77,AS-Taiwan-Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
78,AS-Thailand-Post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
79,JNE SUB,3,0,7,6000,0.3,0,0,0.01,0,0,0,0.0025,0.1,1
80,LGS-TIKI-ID-HK,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
81,AS-japan-post,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
82,JNE MP SUB,2,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
83,JNE MES,3,0,7,6000,0.3,0,0,0.01,0,0,0,0.0025,0.1,1
84,AS-USPS,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
85,TIKI MES,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
86,Ninja Van,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
87,ETOBEE,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
88,NCS MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
89,LEX X,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
90,TIKI EXPRESS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
91,Go-Jek,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
92,LGS-LEX-ID-HK,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
93,LGS-LEX-ID-KR,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
94,Ninja Van NDS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
95,Ninja Van NDS MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
96,LEX SUB,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
97,LEX MES,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
98,LEX MP SUB,2,0,7,6000,0,6464,0.2,0.01,1500,0.2,0.01,0.0025,0.1,1
99,LEX MP MES,2,0,7,6000,0,6464,0.2,0.01,1500,0.2,0.01,0.0025,0.1,1
100,LEX FBL SUB,4,0,7,6000,0,6464,0.2,0.01,0,0,0,0.0025,0.1,1
101,LEX FBL MES,4,0,7,6000,0,6464,0.2,0.01,0,0,0,0.0025,0.1,1
102,JNE MP MES,2,0,7,6000,0.3,7000,0.3,0.01,0,0,0,0.0025,0.1,1
103,POS Indonesia,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
104,POS Indo - Eco,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
105,TIKI SUB,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
106,ETOBEE NDS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
107,ETOBEE REG,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
108,J-Express,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
109,Total Logistics,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
110,TIKI MP,2,0,7,6000,0,7000,0,0.01,0,0,0,0.0025,0.1,1
111,AS-Quantium-Solutions,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
112,JNE return,3,0,7,6000,0.3,0,0,0.01,0,0,0,0.0025,0.1,1
113,TIKI return,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
114,ESL,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
115,ESL SUB,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
116,FL RTS,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
117,NEX RTS,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
118,J&T,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
119,Digital Delivery,0,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
120,Pos Indo - Standard,3,0,7,6000,0,0,0,0.01,0,0,0,0.0025,0.1,1
121,LGS-DHL-ID,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
122,LGS-FM01,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
123,LGS-FM02,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
124,LGS-FM03,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
125,LGS-FM04,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
126,LGS-FM05,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
127,LGS-FM06,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
128,LGS-FM07,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
129,LGS-FM08,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
130,LGS-FM09,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
131,LGS-FM10,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
132,LGS-FM11,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
133,LGS-FM12,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
134,LGS-FM13,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
135,LGS-FM14,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
136,LGS-FM15,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
137,LGS-FM16,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
138,LGS-FM17,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
139,LGS-FM18,5,0,7,6000,0,0,0,0,0,0,0,0,0,1
