threshold_order,total_unit_price,total_paid_price,nmv,total_so,total_pck,total_soi,aov,total_shipping_surcharge,total_shipping_amount,total_delivery_cost,total_shipment_fee_mp_seller,net_subsidy
100000,5640600566.7800,5609710852.3100,5263854956.74545455,67111,78846,90685,84048.82309577,22446321.49909091,142948181.75909091,1026657436.4266,410307218.6829,1602359158.36768182
150000,8780188274.4000,8735293131.2600,8175272714.43636364,75407,96718,118027,116437.31052024,73574138.72545455,167154636.07000000,1532812993.7970,537822729.8143,2311364498.40675455
200000,7266123924.0400,7164322319.8800,6669736716.20909091,43719,57282,70130,166200.59754432,96278742.92000000,61322605.94727273,979951990.8625,330128147.7881,1467681487.51787273
250000,5492008484.6500,5299830322.9800,4929614900.51818182,25148,34538,42580,218387.48547201,85100631.19181818,29954103.04363636,654414739.9007,188601179.9276,958070654.06375455
30000,660839458.9300,429198176.1100,695873170.90909091,25889,26388,27402,25525.87813087,544681.81818182,131505000.17818182,227993208.7180,117402678.7119,477445569.42626364
300000,3795701214.8200,3743927623.3400,3484425468.90909091,14879,21423,27184,255104.59135829,70368894.36181818,16228016.63363636,429190915.9976,135213691.2546,651001518.24765455
350000,2634892641.8800,2597525679.8300,2425141782.27272727,8788,13344,17258,299828.47540737,58206935.35727273,9281901.46181818,300573168.1201,88555490.7406,456617495.67979091
400000,2062576690.4600,2050727574.9200,1914825825.26363636,6083,9289,12394,339072.28184448,48135366.54909091,5907265.16818182,223957750.5750,62867014.4817,340867396.77397273
50000,2376937647.5800,2346834376.3900,2357785766.11818182,66433,70208,76191,35779.47176223,2199778.06454545,222041910.57454545,676776271.9662,340616727.7867,1241634688.39199091
500000,2412562193.5200,2392450631.1800,2245391831.32727273,5993,10035,13571,402563.35616886,66231406.34272727,5198469.67454545,261936569.7822,67744743.9713,401111189.77077273
75000,5875075936.3300,5840548240.6100,5536594284.81818182,100976,115056,131101,58182.89431479,7669562.13818182,221673152.28181818,1393309277.0125,572862855.9090,2195514847.34150000
">= 500000",60120751232.7700,59501747675.3700,54462944257.20909091,36168,46941,62318,1662263.63726969,381047778.65181818,1219424.24909091,1287284484.3335,337546626.0041,2007098313.23850909
CB,11997057036.3600,11909487876.7400,10879683047.08181818,81402,91370,99132,147380.37193632,131000.00000000,8160783.24000000,0.0000,0.0000,8291783.24000000
